ass1,ass2,asstot,midsem,exam,final
9.5,20,29.5,5,31,70
10,18,28,14,37,77
9.5,18,27.5,16,36,77
5,18,23,15,30,68
9.5,18.5,28,15,35,76
8,18,26,7,17,49
7,13,20,3,5,28
3,15.5,18.5,5,0,21
9.5,14,23.5,17,30,69
6.5,12,18.5,3,18,44
9.5,18,27.5,9,26,66
9,17,26,13,31,70
8,20,28,8,16,49
10,18.5,28.5,15,40,81
9.5,17,26.5,6,21,57
9.5,17.5,27,12,34,73
9,17,26,3,16,48
9.5,17,26.5,4,23,59
7.5,15,22.5,7,16,47
10,19,29,12,32,74
9,16.5,25.5,9,33,69
9.5,5,14.5,7,11,32
8,13,21,2,12,38
8,13,21,9,13,43
1,17.5,18.5,13,22,54
10,17,27,19,38,80
7.5,16,23.5,7,24,58
9.5,14.5,24,18,33,72
8,18.5,26.5,15,28,70
8,18,26,18,39,79
8,12,20,7,5,30
9,10.5,19.5,2,11,35
8.5,14,22.5,4,12,40
9,18,27,15,44,82
10,17.5,27.5,10,30,70
10,18.5,28.5,13,16,56
1,17.5,18.5,11,21,51
8.5,19.5,28,18,48,88
6,13,19,6,11,36
10,20,30,8,31,72
8.5,19,27.5,4,20,56
9.5,18.5,28,10,17,55
7,15,22,10,16,48
10,16,26,8,31,68
9.5,18,27.5,9,30,69
6,16.5,22.5,9,26,61
8,19.5,27.5,14,27,69
4,16.5,20.5,6,11,38
8.5,18,26.5,14,26,68
5,15.5,20.5,14,30,65
9.5,19.5,29,10,30,71
10,17.5,27.5,5,19,55
9,19,28,15,36,77
8.5,17,25.5,12,29,68
7.5,19.5,27,10,28,68
9.5,17.5,27,10,27,67
9.5,19.5,29,14,20,62
6,15,21,7,23,55
9,17.5,26.5,8,28,66
0,17.5,17.5,9,16,43
5,13.5,18.5,7,25,55
9,17,26,17,32,73
9,20,29,14,30,73
8.5,17,25.5,9,22,59
8.5,17.5,26,16,22,63
9.5,18,27.5,8,30,69
8,19,27,10,30,69
6.5,10.5,17,3,12,34
8,15,23,10,25,61
4.5,6.5,11,6,11,28
4.5,19.5,24,15,33,71
2,15.5,17.5,6,18,44
9,15.5,24.5,14,29,68
3.5,16,19.5,13,28,62
10,18,28,3,30,67
10,19.5,29.5,8,23,64
9,14,23,16,27,66
7,17.5,24.5,4,28,62
7.5,16.5,24,9,27,63
8.5,19.5,28,13,29,71
6,15,21,11,27,61
10,20,30,17,45,87
7.5,16.5,24,5,17,49
8,15.5,23.5,13,35,71
10,19,29,15,38,80
4.5,14,18.5,4,17,43
10,18,28,17,43,84
10,20,30,12,42,82
9.5,18,27.5,12,26,68
7,12,19,4,15,41
6.5,8.5,15,3,11,31
6,14.5,20.5,1,3,25
9,19.5,28.5,17,40,82
8.5,17.5,26,12,29,68
8,19.5,27.5,2,26,63
8.5,14,22.5,6,21,53
6.5,20,26.5,7,22,59
5,8,13,9,22,46
9,19,28,14,41,80
0,0,0,12,4,11
9,12.5,21.5,10,23,57
8.5,17.5,26,12,21,59
7,16,23,1,0,24
10,20,30,14,43,84
10,20,30,18,49,91
8.5,20,28.5,9,31,71
9.5,15,24.5,7,23,58
8.5,19,27.5,14,31,72
10,17,27,17,39,79
0,0,0,5,0,3
8.5,16.5,25,3,24,58
9.5,14.5,24,5,22,55
9,19.5,28.5,6,24,63
10,19.5,29.5,14,43,84
9,19.5,28.5,16,38,80
10,19.5,29.5,19,45,88
10,15.5,25.5,12,32,70
10,19,29,18,38,81
6,12,18,3,7,29
9.5,20,29.5,15,36,79
10,15.5,25.5,13,29,68
10,20,30,18,45,88
9,16,25,6,18,52
10,20,30,17,30,76
10,15,25,17,33,73
10,17.5,27.5,12,33,73
10,19,29,19,42,85
9.5,19.5,29,13,35,76
4.5,12.5,17,7,25,53
9,18,27,16,47,85
6.5,11,17.5,8,28,57
10,19,29,14,39,80
7.5,17.5,25,10,28,66
9.5,18,27.5,8,29,68
8.5,17.5,26,7,22,58
9.5,15.5,25,17,32,72
9,19,28,11,43,81
7.5,16,23.5,17,32,71
4,15.5,19.5,9,22,53
8.5,16.5,25,8,27,64
10,20,30,17,35,79
7,16.5,23.5,9,27,63
9.5,11,20.5,12,25,59
9.5,19.5,29,18,40,83
8.5,16.5,25,10,29,66
7.5,11,18.5,12,22,53
9.5,19.5,29,16,32,76
5,13,18,14,33,64
9.5,18.5,28,11,21,61
9,16,25,7,26,63
9.5,18.5,28,15,33,75
6,16.5,22.5,8,26,61
9,19.5,28.5,13,31,73
10,19.5,29.5,11,23,65
9,16.5,25.5,16,35,74
7.5,14.5,22,11,18,51
9.5,15.5,25,7,27,63
9,17,26,12,30,69
7.5,15.5,23,6,35,67
10,20,30,15,38,81
9,17,26,12,24,63
6.5,17.5,24,13,28,66
9,16.5,25.5,11,22,60
10,15.5,25.5,14,20,59
8,15,23,11,34,69
5.5,0,5.5,13,0,12
9.5,19,28.5,14,26,70
9.5,20,29.5,14,33,76
9.5,19.5,29,17,43,85
8.5,14.5,23,11,30,66
4,6.5,10.5,4,6,20
10,18.5,28.5,13,26,69
10,19.5,29.5,19,38,82
10,19.5,29.5,15,37,79
4,17,21,11,21,54
9,20,29,15,41,82
10,18.5,28.5,19,37,80
8.5,18,26.5,13,32,72
8.5,17.5,26,6,22,58
9,19,28,11,29,70
6,9.5,15.5,7,13,36
10,18,28,12,23,64
9.5,20,29.5,12,33,75
8.5,15,23.5,8,16,48
9.5,16.5,26,9,30,68
9.5,18.5,28,17,41,82
10,19.5,29.5,14,29,73
9,19,28,15,38,79
8.5,16.5,25,10,30,67
8.5,14.5,23,9,22,56
10,18.5,28.5,12,22,63
9.5,19.5,29,16,39,81
9.5,14.5,24,11,20,56
9,16.5,25.5,9,32,69
8.5,16.5,25,10,29,66
6.5,4.5,11,8,7,24
9.5,18,27.5,11,24,64
9.5,13,22.5,14,33,69
10,19.5,29.5,16,42,84
9.5,18,27.5,11,36,75
10,16,26,14,39,77
0,5,5,10,23,40
8.5,16,24.5,14,32,70
10,16.5,26.5,6,23,60
9,19,28,7,25,64
9.5,18.5,28,11,32,72
9,17.5,26.5,14,32,72
7.5,12,19.5,11,24,56
10,20,30,8,34,74
10,18,28,17,37,79
9,17.5,26.5,6,21,57
9.5,19,28.5,7,24,63
10,13.5,23.5,16,30,69
9,15,24,5,15,46
9,17,26,15,24,65
9.5,18,27.5,17,32,75
9,18,27,13,29,70
5.5,11.5,17,5,16,40
0,0,0,0,0,0
9.5,18,27.5,6,27,65
9.5,19,28.5,12,37,77
9.5,20,29.5,16,43,85
9.5,18,27.5,12,29,70
0,0,0,3,0,2
0,0,0,0,0,0
9.5,18.5,28,10,31,71
6.5,18.5,25,9,30,67
9.5,18,27.5,15,28,71
8.5,18,26.5,11,17,54
9.5,19.5,29,10,13,49
7.5,17.5,25,4,6,35
8.5,20,28.5,11,36,76
8,19,27,5,22,58
9.5,18,27.5,15,41,80
10,20,30,12,32,75
8,16,24,5,16,47
10,18.5,28.5,18,45,86
8.5,13,21.5,12,29,64
8,18,26,9,27,65
10,19,29,11,26,69
9.5,19,28.5,16,42,83
8,18,26,13,35,73
9.5,19,28.5,8,29,69
8.5,19,27.5,9,17,54
9,17.5,26.5,14,34,74
8.5,10,18.5,8,24,54
10,20,30,16,36,80
10,18.5,28.5,16,43,84
7,18.5,25.5,15,42,79
6,12.5,18.5,3,2,23
9.5,17.5,27,14,26,68
7.5,18,25.5,1,11,40
9.5,17.5,27,10,30,69
10,20,30,13,26,71
10,18,28,12,27,69
8.5,17.5,26,15,29,70
0.5,8.5,9,1,18,33
9.5,17.5,27,9,28,67
9.5,17,26.5,11,23,62
0,0,0,4,9,14
10,17.5,27.5,14,18,58
8,15,23,3,22,53
8,13.5,21.5,11,26,61
9,20,29,18,41,83
10,19,29,17,27,72
10,16.5,26.5,5,9,41
2.5,9,11.5,6,22,43
10,10.5,20.5,9,31,63
9.5,20,29.5,17,35,79
2.5,12.5,15,8,30,56
8.5,19.5,28,11,39,77
9.5,17,26.5,13,39,77
9,20,29,10,18,58
8.5,18.5,27,16,46,84
8.5,19.5,28,5,17,49
10,18,28,13,26,69
6.5,16.5,23,3,4,30
7,19,26,12,31,70
9.5,20,29.5,12,21,63
6,15.5,21.5,2,18,46
8.5,19.5,28,14,25,68
7.5,13.5,21,14,26,62
9,18,27,8,33,70
8,17,25,5,25,60
9,18.5,27.5,12,24,65
8,17.5,25.5,12,23,62
8,17,25,18,38,77
7,17,24,6,27,62
5.5,10,15.5,2,6,24
0,15,15,0,1,16
